tax_id	object_id	object_label	object_categories	object_aliases	subject_label	start	end
354	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
1488	GO:0006113	fermentation	[]	[]	fermentation		
1488	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
44251	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
2698	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
1206	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
272131	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
145262	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
2209	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
263511	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
264691	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
1164	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
281	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
91623	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
91623	GO:0006113	fermentation	[]	[]	fermentation		
320502	GO:0045493	xylan catabolic process	[]	[]	xylan degradation		
320502	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
320502	GO:0006113	fermentation	[]	[]	fermentation		
320502	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
36839	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
1520	GO:0006113	fermentation	[]	[]	fermentation		
1520	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
1501	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
1501	GO:0006113	fermentation	[]	[]	fermentation		
1061	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
1076	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
1076	GO:0006113	fermentation	[]	[]	fermentation		
386056	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
96941	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
81943	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
199596	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
227605	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
85583	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
48256	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
48256	GO:0006113	fermentation	[]	[]	fermentation		
48256	GO:0045493	xylan catabolic process	[]	[]	xylan degradation		
48256	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
292	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
292	GO:0120253	hydrocarbon catabolic process	[]	[]	hydrocarbon degradation		
292	GO:0019439	aromatic compound catabolic process	[]	[]	aromatic compound degradation		
81479	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
39772	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
39771	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
