subject	edge_label	object	relation	provided_by
DSMZ:1534	biolink:supportsGrowth	NCBITaxon:1940526		BACDIVE:158272
NCBITaxon:1131610	biolink:growsIn	DSMZ:514		BACDIVE:140387
DSMZ:514	biolink:supportsGrowth	NCBITaxon:1131610		BACDIVE:140387
NCBITaxon:391	biolink:growsIn	DSMZ:98		BACDIVE:132789
DSMZ:98	biolink:supportsGrowth	NCBITaxon:391		BACDIVE:132789
NCBITaxon:142586	biolink:growsIn	DSMZ:104		BACDIVE:130912
DSMZ:104	biolink:supportsGrowth	NCBITaxon:142586		BACDIVE:130912
NCBITaxon:1441877	biolink:growsIn	DSMZ:65		BACDIVE:130734
DSMZ:65	biolink:supportsGrowth	NCBITaxon:1441877		BACDIVE:130734
NCBITaxon:1280637	biolink:growsIn	DSMZ:65		BACDIVE:130591
DSMZ:65	biolink:supportsGrowth	NCBITaxon:1280637		BACDIVE:130591
NCBITaxon:416273	biolink:growsIn	DSMZ:1091		BACDIVE:23036
DSMZ:1091	biolink:supportsGrowth	NCBITaxon:416273		BACDIVE:23036
NCBITaxon:53446	biolink:growsIn	DSMZ:65		BACDIVE:16151
DSMZ:65	biolink:supportsGrowth	NCBITaxon:53446		BACDIVE:16151
NCBITaxon:1938	biolink:growsIn	DSMZ:65		BACDIVE:16115
DSMZ:65	biolink:supportsGrowth	NCBITaxon:1938		BACDIVE:16115
NCBITaxon:1931	biolink:growsIn	DSMZ:65		BACDIVE:15851
DSMZ:65	biolink:supportsGrowth	NCBITaxon:1931		BACDIVE:15851
NCBITaxon:1931	biolink:growsIn	DSMZ:84		BACDIVE:15815
DSMZ:84	biolink:supportsGrowth	NCBITaxon:1931		BACDIVE:15815
NCBITaxon:56	biolink:growsIn	DSMZ:9		BACDIVE:12484
DSMZ:9	biolink:supportsGrowth	NCBITaxon:56		BACDIVE:12484
NCBITaxon:1564	biolink:growsIn	DSMZ:63		BACDIVE:11800
DSMZ:63	biolink:supportsGrowth	NCBITaxon:1564		BACDIVE:11800
NCBITaxon:1563	biolink:growsIn	DSMZ:63		BACDIVE:11775
DSMZ:63	biolink:supportsGrowth	NCBITaxon:1563		BACDIVE:11775
NCBITaxon:1123375	biolink:growsIn	DSMZ:63		BACDIVE:10538
DSMZ:63	biolink:supportsGrowth	NCBITaxon:1123375		BACDIVE:10538
NCBITaxon:54	biolink:growsIn	DSMZ:9		BACDIVE:10213
DSMZ:9	biolink:supportsGrowth	NCBITaxon:54		BACDIVE:10213
NCBITaxon:184914	biolink:growsIn	DSMZ:9		BACDIVE:8888
DSMZ:9	biolink:supportsGrowth	NCBITaxon:184914		BACDIVE:8888
NCBITaxon:184914	biolink:growsIn	DSMZ:9		BACDIVE:8837
DSMZ:9	biolink:supportsGrowth	NCBITaxon:184914		BACDIVE:8837
NCBITaxon:502025	biolink:growsIn	DSMZ:958		BACDIVE:5869
DSMZ:958	biolink:supportsGrowth	NCBITaxon:502025		BACDIVE:5869
NCBITaxon:995054	biolink:growsIn	DSMZ:535b		BACDIVE:5209
DSMZ:535b	biolink:supportsGrowth	NCBITaxon:995054		BACDIVE:5209
NCBITaxon:562	biolink:growsIn	DSMZ:1		BACDIVE:4914
DSMZ:1	biolink:supportsGrowth	NCBITaxon:562		BACDIVE:4914
NCBITaxon:1506	biolink:growsIn	DSMZ:104c		BACDIVE:2700
